label,message
scam,"URGENT: Your M-Pesa account will be suspended within 24 hours. Confirm your PIN to reactivate. Safaricom customer care."
scam,"Congratulations! You have won KES 500,000 in the Safaricom promo. Send the OTP sent to your phone to claim your prize now."
scam,"Dear customer, your bank account is blocked. Reply with your password immediately to avoid deactivation."
scam,"Hello, money was sent to you by mistake. Please send your PIN so we can reverse the wrong transaction. Act now."
scam,"KRA final notice: verify your account within 2 hours or face penalties. Click http://bit.ly/kra-verify and enter your code."
scam,"Your SIM will be blocked. To upgrade from 4G to 5G, share the verification code we just sent you. Official telecom notice."
scam,"You have a pending refund. Provide your OTP to receive KES 12,000 immediately. Forward to everyone so they also benefit."
legit,"TIB4H5J7K9 Confirmed. You have received Ksh1,000.00 from JOHN DOE 0712345678 on 17/7/26 at 1:04 PM. New M-PESA balance is Ksh3,450.00."
legit,"Hi, are we still meeting for lunch at 1pm today? Let me know."
legit,"Your Equity Bank statement for June is ready. Log in to the app to view it. Do not share your PIN or password with anyone."
legit,"Reminder: your electricity token purchase was successful. Units: 45.2. Thank you for using KPLC."
legit,"The meeting has been moved to Thursday. Please update your calendar and share the new agenda with the team."
legit,"Congratulations on passing your exam! So proud of you. Let's celebrate this weekend."
legit,"Your order #4821 has shipped and will arrive within 3 days. Track it using the link in your account."
scam,"Login required to avoid suspension: http://196.201.45.10/secure verify now"
scam,"Dear customer verify your safaricom account at http://safaricom-verify.xyz/login urgently"
legit,"Your Amazon order has shipped. Track at https://www.amazon.com/orders"
